feature,importance,std
chroma_stft_median_10,0.00030005016295895915,0.0011970378641205407
chroma_cqt_mean_07,0.0002964765063002472,0.0015329177229703962
chroma_cqt_min_04,0.0002958051597050204,0.0027917941885337726
chroma_cqt_std_03,0.0002895876145708576,0.0015201176972972324
mfcc_kurtosis_15,0.0002849579937543534,0.0008135590187210471
tonnetz_kurtosis_06,0.00026908486212721126,0.00216899919272423
chroma_cens_skew_10,0.00026787421699738244,0.0010928959247869829
mfcc_max_17,0.0002537717502135273,0.0032132867731187974
chroma_cens_median_10,0.0002500102277217975,0.0018091629190756285
chroma_cqt_mean_11,0.00024820538421033156,0.0006675563633854636
chroma_cqt_std_11,0.00024605458931512556,0.0015518532266881318
chroma_cqt_median_07,0.00023852028150551653,0.0004448906686588342
mfcc_skew_13,0.0002375847551926602,0.0019719786093996706
tonnetz_std_04,0.0002339163772489161,0.0013646648663545118
spectral_contrast_min_07,0.00023172395092024844,0.00264551308982538
mfcc_max_05,0.00021814204030838337,0.0020188054741986723
spectral_contrast_kurtosis_05,0.00020781059599329078,0.002139629224299472
mfcc_kurtosis_07,0.00019166371662796556,0.0011029742208429638
chroma_cqt_mean_08,0.00018874362428039081,0.00027124891325143463
spectral_contrast_kurtosis_07,0.00017750886975614888,0.001731147697939616
mfcc_median_10,0.00017576389710960427,0.0012430447896428416
chroma_cens_max_06,0.00016037647936095745,0.0017628897480556922
chroma_cens_skew_01,0.00015340922901931897,0.0009473983122523984
chroma_cqt_mean_04,0.0001465928747962919,0.0005532148676884412
spectral_contrast_median_06,0.00013448745867849498,0.0023004854945242108
mfcc_std_08,0.00013069429366281416,0.0014188795189950248
mfcc_max_20,0.00012982685468012622,0.001910228508583266
chroma_cqt_kurtosis_08,0.00012859128188595913,0.000617868868984698
spectral_centroid_kurtosis_01,0.0001242214426165622,0.002469554994368342
spectral_contrast_max_05,0.00012052029154717147,0.0006050135695089433
chroma_cens_kurtosis_11,0.00011714220773142991,0.0007215869361571501
tonnetz_max_05,0.00010383652882482997,0.000885950718914044
chroma_stft_kurtosis_01,9.994787260884098e-05,0.0019720502985797186
chroma_stft_min_09,9.775992527198407e-05,0.00022873879383870091
mfcc_kurtosis_19,9.022066213023593e-05,0.0024777447131764537
mfcc_kurtosis_11,8.102846296806354e-05,0.0006954113260464034
chroma_cens_median_09,7.329581660316387e-05,0.0010709804314056823
mfcc_mean_12,7.292684661042159e-05,0.00045932424443812826
chroma_cens_min_06,6.6778189943828e-05,0.00014045435764221728
spectral_rolloff_mean_01,6.652773846550497e-05,0.0029386888188752875
chroma_cens_min_07,2.9766031061218003e-05,0.00027257248154132787
chroma_cens_mean_07,2.436460186000522e-05,0.0002713131836816718
chroma_cens_min_05,8.357950859200213e-06,0.00020383427729306485
chroma_stft_max_02,0.0,0.0
chroma_stft_max_09,0.0,0.0
chroma_cqt_max_01,0.0,0.0
chroma_stft_max_10,0.0,0.0
chroma_stft_max_11,0.0,0.0
chroma_cqt_max_02,0.0,0.0
chroma_stft_max_08,0.0,0.0
chroma_stft_max_12,0.0,0.0
chroma_cqt_max_04,0.0,0.0
chroma_cqt_max_03,0.0,0.0
chroma_cqt_max_05,0.0,0.0
chroma_cqt_max_12,0.0,0.0
chroma_cqt_max_11,0.0,0.0
chroma_stft_max_03,0.0,0.0
chroma_stft_max_04,0.0,0.0
chroma_stft_max_05,0.0,0.0
chroma_stft_max_06,0.0,0.0
chroma_cqt_max_10,0.0,0.0
chroma_cqt_max_06,0.0,0.0
chroma_stft_max_07,0.0,0.0
chroma_stft_max_01,0.0,0.0
chroma_cqt_max_09,0.0,0.0
chroma_cqt_max_07,0.0,0.0
chroma_cqt_max_08,0.0,0.0
chroma_cens_std_05,-4.4323523084033313e-07,0.0011478145951335378
tonnetz_median_02,-4.3276043924400655e-06,0.0014218017591607502
mfcc_mean_11,-8.57875157544985e-06,0.00164761881972171
mfcc_mean_02,-1.1635520577457648e-05,0.0008319649152805902
chroma_cens_min_08,-3.098414071626143e-05,9.652506581310102e-05
chroma_stft_min_05,-3.6036947775142106e-05,0.00080723402426204
tonnetz_max_03,-5.448415450078348e-05,0.0012511952992306583
mfcc_min_15,-5.7782347715801265e-05,0.0012999588514461078
mfcc_median_15,-5.9369791861729745e-05,0.001370094717565615
chroma_cqt_kurtosis_02,-6.703316024637695e-05,0.002326881939669714
chroma_cens_skew_05,-8.043702052267232e-05,0.00064924165072081
mfcc_skew_19,-8.111793635312559e-05,0.0007667125271218286
chroma_cens_kurtosis_05,-8.48879177675621e-05,0.0011762971379469804
tonnetz_mean_02,-9.813789306469256e-05,0.0010462451626545672
mfcc_mean_15,-0.00010501415696687055,0.0016236264801037345
chroma_cens_kurtosis_12,-0.00011770968972010242,0.0006157147166021784
spectral_contrast_std_03,-0.00011795831100022136,0.0014491009796282588
mfcc_mean_16,-0.00011955134560642233,0.002848361231322673
chroma_cens_min_11,-0.0001261935039902906,0.00010445869440595347
chroma_cens_min_03,-0.00012724889206276458,0.000664912704385578
mfcc_min_02,-0.00012756324919465655,0.0013345742528548265
mfcc_mean_09,-0.0001364735859612498,0.0016611255706245449
